DOI,count
10.7554/eLife.92775,2
10.1186/s40478-023-01711-w,2
10.12688/f1000research.133696.2,2
10.1002/anie.202309306,2
10.1038/s43856-023-00294-w,2
10.1038/s41531-022-00409-5,2
10.1186/s40478-022-01318-7,2
10.1039/c9sc04730a,2
10.1186/s40478-021-01282-8,2
10.1021/acsptsci.0c00162,2
10.1002/mdc3.13296,2
10.36469/001c.24620,2
10.1002/alz.12310,2
10.3390/genes12030423,2
10.1371/journal.pcbi.1008833,2
10.1002/anie.202014898,2
10.1038/s41514-020-00052-5,2
10.1002/anie.202000451,2
10.31857/S0026898420060063,2
10.1021/acsnano.0c00866,2
10.1016/j.cytox.2020.100027,2
10.1212/CPJ.0000000000000680,2
